Losses_15,Losses_30,Losses_45,Losses_60,Losses_75,Losses_90,Losses_105,Losses_120,Losses_135,Losses_150,Subj,Study
-1850,-2200,-2650,-3050,-3300,-3700,-4100,-4500,-4850,-5250,38,Steingroever2011
-1550,-3050,-3650,-4300,-6150,-6750,-8600,-8850,-10300,-10700,39,Steingroever2011
-500,-2700,-3000,-4550,-5350,-7000,-10100,-10350,-11050,-11650,40,Steingroever2011
-550,-2100,-3350,-5050,-6500,-8800,-9200,-9600,-9850,-11450,41,Steingroever2011
-1550,-3150,-5200,-5900,-7200,-8350,-8750,-9100,-9500,-9850,42,Steingroever2011
-1550,-2350,-3050,-4500,-6000,-6450,-6850,-8200,-10100,-10200,43,Steingroever2011
-1750,-3300,-3550,-4800,-5250,-8000,-8400,-10100,-10450,-10850,44,Steingroever2011
-650,-2800,-4300,-5550,-7200,-9150,-10450,-12050,-12850,-14100,45,Steingroever2011
-250,-750,-1000,-1600,-2900,-3450,-3950,-4900,-4950,-5450,46,Steingroever2011
-1900,-2550,-3100,-4350,-4950,-6500,-8050,-8700,-10250,-10400,47,Steingroever2011
-200,-2300,-3000,-5150,-5650,-6150,-6900,-10100,-10500,-10900,48,Steingroever2011
-1950,-3250,-4750,-5000,-6700,-8250,-9850,-10450,-12150,-12250,49,Steingroever2011
-1700,-3450,-5000,-5000,-7250,-9800,-10400,-10650,-11500,-13750,50,Steingroever2011
-150,-2050,-3850,-4550,-6100,-6400,-8250,-8550,-10050,-10700,51,Steingroever2011
-1800,-2200,-3950,-5850,-6150,-6400,-6650,-7400,-7700,-7950,52,Steingroever2011
-550,-1550,-4400,-5200,-6700,-8400,-8650,-9450,-10450,-11900,53,Steingroever2011
-1950,-2400,-3100,-4850,-5850,-7850,-9000,-9650,-10350,-10750,54,Steingroever2011
-1800,-2150,-2450,-3950,-4550,-5150,-5400,-5650,-6150,-6400,55,Steingroever2011
-1800,-3050,-5550,-6850,-8250,-9550,-11700,-12050,-13600,-14650,56,Steingroever2011
-300,-750,-1100,-1500,-1900,-2250,-2550,-3000,-3350,-3750,57,Steingroever2011
-500,-3250,-3650,-5200,-7200,-8050,-9700,-11400,-11650,-11950,58,Wetzels
-550,-2650,-4400,-4700,-5950,-6250,-6400,-8600,-10250,-10850,59,Wetzels
-1550,-2750,-2900,-3250,-3650,-4050,-4400,-4750,-5150,-5500,60,Wetzels
-750,-2650,-4450,-4500,-6100,-6600,-7650,-9250,-10900,-11300,61,Wetzels
-2050,-3900,-4100,-5500,-6300,-7050,-9850,-10450,-10900,-12700,62,Wetzels
-1500,-3300,-4200,-5500,-6000,-6550,-7200,-7350,-7800,-8100,63,Wetzels
-1800,-2150,-2500,-4050,-4600,-5900,-6400,-6500,-6800,-7100,64,Wetzels
-1850,-2300,-2550,-5350,-6850,-7100,-8600,-9850,-11100,-13600,65,Wetzels
-500,-2650,-3250,-4750,-7250,-7800,-8200,-8650,-8950,-10700,66,Wetzels
-850,-3400,-3800,-5200,-5750,-7400,-8750,-10250,-10400,-10750,67,Wetzels
-1650,-2400,-2750,-5500,-6000,-8100,-9750,-11400,-11750,-11750,68,Wetzels
-250,-750,-1550,-3050,-3050,-3550,-5050,-6550,-6800,-7300,69,Wetzels
-1650,-3500,-4750,-5650,-6500,-7400,-7700,-7950,-8400,-8750,70,Wetzels
-1500,-2250,-2500,-2850,-3100,-3450,-4850,-5150,-5750,-5950,71,Wetzels
-450,-1950,-6050,-6550,-8400,-8850,-9200,-9600,-10000,-10350,72,Wetzels
-2000,-3950,-4000,-5250,-6150,-7550,-10600,-10900,-11450,-11700,73,Wetzels
-1600,-2850,-3250,-4850,-5350,-5700,-6750,-7250,-8600,-10050,74,Wetzels
-2150,-2650,-3900,-4600,-6000,-7400,-7650,-8150,-8550,-9000,75,Wetzels
-550,-3650,-3950,-5250,-6750,-7000,-7300,-8900,-9750,-11000,76,Wetzels
-1250,-2600,-3000,-3850,-5000,-5850,-7350,-7850,-8100,-8750,77,Wetzels
-1500,-2300,-2550,-4750,-6150,-7950,-8250,-9450,-9700,-9950,78,Wetzels
-1650,-3150,-3600,-4250,-4750,-6350,-6900,-7500,-8150,-8550,79,Wetzels
-500,-3400,-4950,-5000,-5550,-5950,-6250,-6700,-7050,-7450,80,Wetzels
-1250,-3000,-3600,-5400,-7000,-7250,-10550,-10700,-11950,-14450,81,Wetzels
-1900,-2300,-2800,-4400,-5900,-7400,-7650,-9150,-10400,-11300,82,Wetzels
-500,-2900,-3500,-4200,-5800,-6950,-8700,-10400,-11250,-12950,83,Wetzels
-500,-3550,-5100,-5650,-7200,-8850,-9450,-9650,-11350,-13100,84,Wetzels
-2250,-2950,-4250,-4450,-5250,-6600,-7500,-9650,-10000,-11550,85,Wetzels
-2450,-2750,-3150,-3500,-3900,-4250,-4600,-5000,-5300,-5750,86,Wetzels
-2200,-3000,-3300,-3650,-4750,-7450,-7700,-8250,-8800,-11400,87,Wetzels
-1550,-3600,-4250,-4500,-6250,-6650,-7600,-8950,-10200,-10700,88,Wetzels
-800,-2400,-4200,-5950,-6300,-6600,-7650,-7950,-8200,-8700,89,Wetzels
-1750,-3500,-4200,-4900,-6400,-6650,-7150,-7350,-8150,-8500,90,Wetzels
-700,-3000,-3100,-5150,-5250,-5950,-6600,-8500,-8950,-9400,91,Wetzels
-600,-2950,-4200,-5650,-8000,-9500,-10750,-12050,-12450,-14500,92,Wetzels
-2350,-3300,-4200,-6150,-6350,-6850,-7300,-8000,-8350,-8750,93,Wetzels
-700,-1200,-2800,-2800,-6200,-6700,-9550,-11700,-11850,-11850,94,Wetzels
-1800,-2250,-2550,-3900,-4450,-4800,-6050,-6350,-6950,-7150,95,Wetzels
-900,-1000,-1650,-2500,-3850,-4650,-4950,-6450,-7350,-7900,96,Wetzels
-1650,-2150,-3000,-4950,-5450,-7250,-8000,-8150,-8250,-9050,97,Wetzels
-1450,-2700,-4400,-5650,-8150,-9150,-11950,-13550,-13800,-15050,98,Wetzels
